,AGRI,MANU,SERV,FINA,CAP,LAB,IDT,TRF,HOH,GOV,INV,EXT
AGRI,16.71,81.11,7.47,0.0008,0,0,0,0,22.56,6.0662,4.63,1.14
MANU,30.81,960.77,137.41,4.83,0,0,0,0,133.62,0.01,320.72,139.72
SERV,4.24,182.48,147.04,24.51,0,0,0,0,140.97,113.42,40.64,34.73
FINA,1.31,44.42,33.97,7.16,0,0,0,0,19.46,0.1998,0.001,0.66
CAP,3.997,129.42,120.03,39.69,0,0,0,0,0,0,0,0
LAB,76.34,140.19,188.16,20.95,0,0,0,0,0,0,0,0
IDT,0,66.31,31.14,8.65,0,0,0,0,0,0,0,0
TRF,0,1.95,1,0.28,0,0,0,0,0,0,0,0
HOH,0,0,0,0,293.137,425.64,0,0,0,0,0,0
GOV,0,0,0,0,0,0,106.1,3.23,10.367,0,0,0
INV,0,0,0,0,0,0,0,0,391.8,0.001,0,-25.81
EXT,6.28,121.24,21.81,1.11,0,0,0,0,0,0,0,0
